productid;title;price;weight
000000000000464353_5011;Сметана Глобус 15 %, 400 г;69;400
000000000000132077_5011;Сметана Ростагроэкспорт 20%, 500 г;139;500
000000000000274329_5011;Сметана из фермерского молока Киржачский молочный завод 20%, 450 г;142;450
000000000000539653_5011;Сметана из отборных сливок и закваски President 30%, 350 г;142;350
000000000000399946_5011;Сметана Брест-Литовск 20%, 315 г;82;315
000000000000593239_5011;Сметана Эконива 20%, 300 г;85;300
000000000000458699_5011;Сметана Ростагроэкспорт 15%, 320 г;69;320
000000000000464365_5011;Сметана Глобус 20%, 400 г;82;400
000000000000389175_5011;Сметана из Вологды Вологжанка 18%, 470 г;112;470
000000000000498434_5011;Сметана из фемерского молока Киржачский молочный завод 15%, 450 г;122;450
000000000000168708_5011;Сметана Рузское молоко 20%, 175 г;99;175
000000000000434543_5011;Сметана Козельская живая 25%, 450 г;152;450
000000000000399942_5011;Сметана Брест-Литовск 15%, 180 г;47;180
000000000000372773_5011;Сметана Асеньевская ферма 20%, 180 г;54;180
000000000000509295_5011;Сметана Ростагроэкспорт 10%, 320 г;62;320
000000000000505871_5011;Сметана Чабан 40%, 400 г;199;400
000000000000472509_5011;Сметана Домик в деревне отборная 25%, 300 г;99;300
000000000000593248_5011;Сметана Эконива 15%, 300 г;69;300
000000000000465955_5011;Сметана из Вологды Вологодская зелёный стакан 15%, 400 г;134;400
000000000000456906_5011;Сметана Эковакино 20%, 330 г;79;330
000000000000434552_5011;Сметана термостатная Козельская живая 20%, 180 г;58;180
000000000000482598_5011;Сметана Ростагроэкспорт 20%, 320 г;92;320
000000000000435991_5011;Сметана Вкуснотеево 20%, 300 г;77;300
000000000000499158_5011;Сметана Эконива 20%, 200 г;62;200
000000000000346711_5011;Сметана из отборных сливок и закваски President 30%, 180 г;79;180
000000000000129681_5011;Сметана Простоквашино 15%, 180 г;51;180
000000000000399945_5011;Сметана Брест-Литовск 20%, 180 г;49;180
000000000000597393_5011;Сметана Молочная культура 20%, 270 г;89;270
000000000000516737_5011;Сметана Эковакино 20%, 180 г;52;180
000000000000464367_5011;Сметана Глобус 20%, 200 г;42;200
000000000000464368_5011;Сметана Глобус 15%, 200 г;37;200
000000000000005322_5011;Сметана Домик в деревне 20%, 180 г;52;180
000000000000529466_5011;Сметана Козельская живая 25%, 250 г;82;250
000000000000593250_5011;Сметана Глобус 30%, 315 г;99;315
000000000000570626_5011;Соус Сулини Долголетие с зеленью 6-8%, 270 г;89;270
000000000000507275_5011;Сметана Коломенская 15%, 180 г;98;180
000000000000111034_5011;Сметана Простоквашино 20%, 180 г;59;180
000000000000482887_5011;Сметана Ростагроэкспорт 15%, 180 г;52;180
000000000000457629_5011;Сметана Мещерские Росы 20%, 350 г;64;350
000000000000585818_5011;Сметана термостатная Коровка из Кореновки 20%, 180 г;59;180
000000000000532337_5011;Сметана Ростагроэкспорт 10%, 180 г;43;180
000000000000360525_5011;Сметана из Вологды Вологодская 25%, 400 г;149;400
000000000000530354_5011;Сметана История в Богимово органическая 25%, 220 г;209;220
000000000000389174_5011;Сметана из Вологды Вологжанка 18%, 240 г;62;240
000000000000289637_5011;Сметана из цельного молока Фермерский супермаркет С ферм 20%, 250 г;129;250
000000000000355975_5011;Сметана Б.Ю. Александров 15%, 230 г;87;230
000000000000371202_5011;Сметана Можайская Бурёнка 20%, 250 г;99;250
